accounts_id,accounts_code,category_id,accounts_name,accounts_sort_order
101,101,1,現金,101
102,102,1,当座預金,102
103,103,1,普通預金,103
104,104,1,定期預金,104
105,105,1,受取手形,105
106,106,1,売掛金,106
107,107,1,貸倒引当金,107
108,108,1,商品,108
109,109,1,製品,109
110,110,1,仕掛品,110
111,111,1,原材料,111
112,112,1,貯蔵品,112
113,113,1,前払費用,113
114,114,1,前渡金,114
115,115,1,未収入金,115
116,116,1,仮払金,116
117,117,1,仮受金,117
118,118,1,立替金,118
119,119,1,短期貸付金,119
120,120,1,有価証券,120
121,121,1,未収収益,121
122,122,1,繰延税金資産,122
123,123,1,その他流動資産,123
201,201,2,建物,201
202,202,2,建物附属設備,202
203,203,2,構築物,203
204,204,2,機械装置,204
205,205,2,車両運搬具,205
206,206,2,工具器具備品,206
207,207,2,土地,207
208,208,2,リース資産,208
209,209,2,建設仮勘定,209
210,210,2,長期前払費用,210
211,211,2,長期貸付金,211
212,212,2,投資有価証券,212
213,213,2,関係会社株式,213
214,214,2,出資金,214
215,215,2,敷金,215
216,216,2,保証金,216
217,217,2,長期保険積立金,217
218,218,2,その他固定資産,218
301,301,3,繰延資産,301
302,302,3,創立費,302
303,303,3,開業費,303
304,304,3,株式交付費,304
305,305,3,社債発行費,305
306,306,3,その他の繰延資産,306
401,401,4,支払手形,401
402,402,4,買掛金,402
403,403,4,短期借入金,403
404,404,4,未払金,404
405,405,4,未払費用,405
406,406,4,預り金,406
407,407,4,前受金,407
408,408,4,仮受金,408
409,409,4,未払法人税等,409
410,410,4,未払消費税等,410
411,411,4,未払社会保険料,411
412,412,4,賞与引当金,412
413,413,4,その他流動負債,413
501,501,5,社債,501
502,502,5,長期借入金,502
503,503,5,退職給付引当金,503
504,504,5,資産除去債務,504
505,505,5,その他固定負債,505
601,601,6,役員退職慰労引当金,601
602,602,6,保証預り金,602
603,603,6,その他その他負債,603
701,701,7,売上高,701
702,702,7,売上割引,702
703,703,7,売上戻り,703
704,704,7,受取利息,704
705,705,7,受取配当金,705
706,706,7,雑収入,706
707,707,7,為替差益,707
708,708,7,有価証券売却益,708
709,709,7,固定資産売却益,709
710,710,7,投資有価証券売却益,710
711,711,7,保険差益,711
712,712,7,受取手数料,712
713,713,7,その他収益,713
801,801,8,仕入高,801
802,802,8,仕入割引,802
803,803,8,仕入戻し,803
804,804,8,給料手当,804
805,805,8,法定福利費,805
806,806,8,福利厚生費,806
807,807,8,退職金,807
808,808,8,賞与,808
809,809,8,役員報酬,809
810,810,8,外注費,810
811,811,8,荷造運賃,811
812,812,8,水道光熱費,812
813,813,8,通信費,813
814,814,8,広告宣伝費,814
815,815,8,交際費,815
816,816,8,旅費交通費,816
817,817,8,消耗品費,817
818,818,8,租税公課,818
819,819,8,保険料,819
820,820,8,修繕費,820
821,821,8,支払手数料,821
822,822,8,減価償却費,822
823,823,8,貸倒損失,823
824,824,8,雑損失,824
825,825,8,寄付金,825
826,826,8,為替差損,826
827,827,8,有価証券評価損,827
828,828,8,その他費用,828
901,901,9,資本金,901
902,902,9,資本準備金,902
903,903,9,利益準備金,903
904,904,9,繰越利益剰余金,904
905,905,9,その他資本剰余金,905
906,906,9,自己株式,906
907,907,9,その他資本の部,907